title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Notus: Dynamic Proofs of Liabilities from Zero-knowledge RSA Accumulators.,4,1.815139910907689,0.4,0.36923076923076925,0.0,0.0,0.0,0.15384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0,0.06153846153846154
Two Shuffles Make a RAM: Improved Constant Overhead Zero Knowledge RAM.,3,1.7724626076155316,0.52,0.3,0.0,0.06,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.02
GoFetch: Breaking Constant-Time Cryptographic Implementations Using Data Memory-Dependent Prefetchers.,2,1.9506261475041067,0.24210526315789474,0.47368421052631576,0.0,0.021052631578947368,0.021052631578947368,0.16842105263157894,0.0,0.0,0.0,0.0,0.0,0.07368421052631578
Single Pass Client-Preprocessing Private Information Retrieval.,3,2.0494010196907335,0.3939393939393939,0.18181818181818182,0.0,0.030303030303030304,0.0,0.30303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.030303030303030304
"Shaken, not Stirred - Automated Discovery of Subtle Attacks on Protocols using Mix-Nets.",3,2.131434222845462,0.2826086956521739,0.30434782608695654,0.021739130434782608,0.021739130434782608,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.10869565217391304
PEPSI: Practically Efficient Private Set Intersection in the Unbalanced Setting.,3,2.0170949781550758,0.391304347826087,0.21739130434782608,0.0,0.0,0.0,0.2608695652173913,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043
ElectionGuard: a Cryptographic Toolkit to Enable Verifiable Elections.,4,1.4780099760740606,0.6046511627906976,0.2558139534883721,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.06976744186046512
TVA: A multi-party computation system for secure and expressive time series analytics.,4,2.2270757389406297,0.32653061224489793,0.2755102040816326,0.0,0.01020408163265306,0.0,0.25510204081632654,0.02040816326530612,0.01020408163265306,0.0,0.04081632653061224,0.0,0.061224489795918366
"Reversing, Breaking, and Fixing the French Legislative Election E-Voting Protocol.",3,2.246696364505181,0.125,0.40625,0.03125,0.0,0.03125,0.25,0.03125,0.0,0.0,0.0,0.0,0.125
Reef: Fast Succinct Non-Interactive Zero-Knowledge Regex Proofs.,3,2.2564250692773014,0.4074074074074074,0.25925925925925924,0.0,0.0,0.04938271604938271,0.13580246913580246,0.09876543209876543,0.0,0.012345679012345678,0.024691358024691357,0.0,0.012345679012345678
K-Waay: Fast and Deniable Post-Quantum X3DH without Ring Signatures.,3,1.1866817424116782,0.75,0.15625,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.03125
"Breaking Bridgefy, again: Adopting libsignal is not enough.",4,2.5118452270538856,0.056338028169014086,0.2535211267605634,0.014084507042253521,0.0,0.04225352112676056,0.29577464788732394,0.16901408450704225,0.0,0.14084507042253522,0.0,0.0,0.028169014084507043
GigaDORAM: Breaking the Billion Address Barrier.,3,1.911620280749094,0.48148148148148145,0.18518518518518517,0.0,0.0,0.0,0.24074074074074073,0.018518518518518517,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035
Key Recovery Attacks on Approximate Homomorphic Encryption with Non-Worst-Case Noise Flooding Countermeasures.,1,1.786993063197861,0.6206896551724138,0.06896551724137931,0.0,0.06896551724137931,0.0,0.13793103448275862,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655
PINE: Efficient Verification of a Euclidean Norm Bound of a Secret-Shared Vector.,3,2.089056046487265,0.45652173913043476,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.1956521739130435,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
Closed-Form Bounds for DP-SGD against Record-level Inference.,2,1.7516291673878226,0.5,0.2222222222222222,0.0,0.027777777777777776,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.027777777777777776
