title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Unclonable Polymers and Their Cryptographic Applications.,2,1.3760995387708754,0.6785714285714286,0.017857142857142856,0.0,0.017857142857142856,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.10714285714285714
Constant-Round Simulation-Secure Coin Tossing Extension with Guaranteed Output.,1,0.9228063975853574,0.7567567567567568,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.02702702702702703,0.0,0.0
Generalized Feistel Ciphers for Efficient Prime Field Masking.,3,0.3698502515468628,0.9431818181818182,0.022727272727272728,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,0.0
Constructing Leakage-Resilient Shamir's Secret Sharing: Over Composite Order Fields.,3,1.332611490864726,0.7045454545454546,0.045454545454545456,0.0,0.022727272727272728,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
Fine-Grained Non-interactive Key-Exchange: Constructions and Lower Bounds.,1,0.787667201427305,0.8275862068965517,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0
Evaluating the Security of CRYSTALS-Dilithium in the Quantum Random Oracle Model.,3,1.4750996096414135,0.71875,0.03125,0.0,0.09375,0.03125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625
Fuzzy Private Set Intersection with Large Hyperballs.,2,1.3235315761100483,0.5789473684210527,0.3157894736842105,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
Perfect (Parallel) Broadcast in Constant Expected Rounds via Statistical VSS.,1,2.0089594255854215,0.43243243243243246,0.02702702702702703,0.0,0.0,0.0,0.2972972972972973,0.0,0.0,0.02702702702702703,0.13513513513513514,0.0,0.08108108108108109
Short Pairing-Free Blind Signatures with Exponential Security.,2,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Secure Non-interactive Simulation: Feasibility and Rate.,1,0.9996551889197438,0.7307692307692307,0.038461538461538464,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0
Signatures with Memory-Tight Security in the Quantum Random Oracle Model.,1,0.26676498780302604,0.9545454545454546,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
Asymptotics and Improvements of Sieving for Codes.,1,0.7441942138263227,0.8461538461538461,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
End-to-End Encrypted Zoom Meetings: Proving Security and Strengthening Liveness.,4,2.015289687276481,0.4782608695652174,0.2391304347826087,0.0,0.021739130434782608,0.10869565217391304,0.10869565217391304,0.0,0.0,0.043478260869565216,0.0,0.0,0.0
Constant-Round Blind Classical Verification of Quantum Sampling.,2,1.8554904244108679,0.42105263157894735,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.13157894736842105
New Records in Collision Attacks on SHA-2.,1,0.6229837106687363,0.8780487804878049,0.024390243902439025,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0
Caveat Implementor! Key Recovery Attacks on MEGA.,4,1.901651589036177,0.5555555555555556,0.1388888888888889,0.0,0.0,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.0,0.0,0.0,0.0,0.027777777777777776
"Laconic Function Evaluation, Functional Encryption and Obfuscation for RAMs with Sublinear Computation.",2,1.2720552088742005,0.6666666666666666,0.0,0.0,0.041666666666666664,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
