title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
High-Order Masking of Lattice Signatures in Quasilinear Time.,3,1.5353714393535534,0.6666666666666666,0.09803921568627451,0.0,0.0,0.0392156862745098,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.13725490196078433
Nurgle: Exacerbating Resource Consumption in Blockchain State Storage via MPT Manipulation.,3,2.460052086725376,0.15584415584415584,0.16883116883116883,0.012987012987012988,0.025974025974025976,0.012987012987012988,0.44155844155844154,0.03896103896103896,0.0,0.025974025974025976,0.03896103896103896,0.0,0.07792207792207792
Video-Based Cryptanalysis: Extracting Cryptographic Keys from Video Footage of a Device's Power LED Captured by Standard Video Cameras.,2,1.9958048708805411,0.37209302325581395,0.37209302325581395,0.0,0.023255813953488372,0.0,0.13953488372093023,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744
Asterisk: Super-fast MPC with a Friend.,3,1.2742645914931465,0.7058823529411765,0.14705882352941177,0.0,0.0,0.0,0.11764705882352941,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
Make Revocation Cheaper: Hardware-Based Revocable Attribute-Based Encryption.,2,2.3362590240595256,0.25925925925925924,0.2962962962962963,0.037037037037037035,0.0,0.037037037037037035,0.25925925925925924,0.037037037037037035,0.0,0.0,0.0,0.0,0.07407407407407407
zk-creds: Flexible Anonymous Credentials from zkSNARKs and Existing Identity Infrastructure.,3,2.0038828196796272,0.39215686274509803,0.29411764705882354,0.0,0.0,0.0196078431372549,0.21568627450980393,0.0,0.0,0.0392156862745098,0.0,0.0,0.0392156862745098
On the Pitfalls of Security Evaluation of Robust Federated Learning.,4,2.182369266528488,0.3595505617977528,0.1348314606741573,0.011235955056179775,0.06741573033707865,0.0,0.34831460674157305,0.0,0.0,0.011235955056179775,0.02247191011235955,0.0,0.0449438202247191
SwiftRange: A Short and Efficient Zero-Knowledge Range Argument For Confidential Transactions and More.,3,1.9426049431802972,0.5357142857142857,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.17857142857142858
Multi-Server Verifiable Computation of Low-Degree Polynomials.,1,1.9629919024016005,0.4489795918367347,0.14285714285714285,0.0,0.0,0.0,0.2653061224489796,0.0,0.0,0.0,0.05102040816326531,0.0,0.09183673469387756
Silph: A Framework for Scalable and Accurate Generation of Hybrid MPC Protocols.,2,2.121316228699685,0.2857142857142857,0.4444444444444444,0.0,0.015873015873015872,0.0,0.07936507936507936,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,0.0,0.1111111111111111
