Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Ignacio Cascudo and Bernardo David: Publicly Verifiable Secret Sharing Over Class Groups and Applications to DKG and YOSO. (2024),2024,,,,,
Isaac Andrés Canales Martinez et al.: Polynomial Time Cryptanalytic Extraction of Neural Network Models. (2024),2024,,,,,
Itai Dinur: Tight Indistinguishability Bounds for the XOR of Independent Random Permutations by Fourier Analysis. (2024),2024,2,"we prove an indistinguishability bound of q/2(r−0.5)n for the (generalized) XoP construction in the single-user setting, and a  bound of √uqmax/2(r−0.5)n in the multi-user setting.",1,"a,b",CRY
Mark Manulis and Jérôme Nguyen: Fully Homomorphic Encryption Beyond IND-CCA1 Security: Integrity Through Verifiability. (2024),2024,1,We focus on the problem of constructing fully homomorphic encryption (FHE) schemes that achieve some meaningful notion of adaptive chosen-ciphertext security beyond CCA1.,2,a,"ML,CC,DAD"
Ittai Abraham et al.: Perfect Asynchronous MPC with Linear Communication Overhead. (2024),2024,,,,,
Maria Corte-Real Santos et al.: AprèsSQI: Extra Fast Verification for SQIsign Using Extension-Field Signing. (2024),2024,,,,,
James Bartusek et al.: Software with Certified Deletion. (2024),2024,,,,,
Ziqi Zhu et al.: Registered Functional Encryptions from Pairings. (2024),2024,,,,,
Jens Groth and Victor Shoup: Fast Batched Asynchronous Distributed Key Generation. (2024),2024,,,,,
Jesko Dujmovic and Mohammad Hajiabadi: Lower-Bounds on Public-Key Operations in PIR. (2024),2024,,,,,
Jesko Dujmovic et al.: Time-Lock Puzzles with Efficient Batch Solving. (2024),2024,,,,,
"Taiga Hiroka et al.: Certified Everlasting Secure Collusion-Resistant Functional Encryption, and More. (2024)",2024,1,We study certified everlasting secure functional encryption (FE) and many other cryptographic primitives in this work.,3,a,CRY
Christina Boura et al.: A Generic Algorithm for Efficient Key Recovery in Differential Attacks - and its Associated Tool. (2024),2024,2,"In this work, we propose a new algorithm and its associated tool that permits, given a distinguisher, to output an efficient key guessing strategy. Our tool can be applied to SPN ciphers whose linear layer consists of a bit-permutation and whose key schedule is linear or almost linear. It can be used not only to help cryptanalysts find the best differential attack on a given cipher but also to assist designers in their security analysis.",2,a,CRY
Si Gao and Elisabeth Oswald: A Novel Framework for Explainable Leakage Assessment. (2024),2024,,,,,
Chen-Da Liu-Zhang et al.: Asymptotically Optimal Message Dissemination with Applications to Blockchains. (2024),2024,,,,,
Youngjin Bae et al.: Bootstrapping Bits with CKKS. (2024),2024,,,,,
Amaury Pouly and Yixin Shen: Provable Dual Attacks on Learning with Errors. (2024),2024,,,,,
You Lyu et al.: Universal Composable Password Authenticated Key Exchange for the Post-Quantum World. (2024),2024,,,,,
Anand Kumar Narayanan et al.: Algorithms for Matrix Code and Alternating Trilinear Form Equivalences via New Isomorphism Invariants. (2024),2024,1,new algorithms for MCE and ATFE,2,a,"NIST,PQC"
Changrui Mu et al.: Strong Batching for Non-interactive Statistical Zero-Knowledge. (2024),2024,,,,,
Cas Cremers et al.: A Holistic Security Analysis of Monero Transactions. (2024),2024,,,,,
Carmit Hazay and Yibin Yang: Toward Malicious Constant-Rate 2PC via Arithmetic Garbling. (2024),2024,,,,,
Yingxin Li et al.: New Records in Collision Attacks on SHA-2. (2024),2024,1,"""Due to its complex design compared with SHA-1, there is almost no progress in collision attacks on SHA-2 after ASIACRYPT 2015. In this work, we retake this challenge and aim to significantly improve collision attacks on the SHA-2 family.""",1,b,CRY
Sven Schäge: New Limits of Provable Security and Applications to ElGamal Encryption. (2024),2024,2,We provide new results showing that ElGamal encryption cannot be proven CCA1-secure – a long-standing open problem in cryptography.,1,"a,b",CRY
Srinath T. V. Setty et al.: Unlocking the Lookup Singularity with Lasso. (2024),2024,,,,,
Thiago Bergamaschi: Pauli Manipulation Detection Codes and Applications to Quantum Communication over Adversarial Channels. (2024),2024,1,"We introduce and explicitly construct a quantum errordetection code we coin a “Pauli Manipulation Detection” code (or PMD), which detects every Pauli error with high probability.",2,a,"PQC,CRY"
Antonio Flórez-Gutiérrez and Yosuke Todo: Improving Linear Key Recovery Attacks Using Walsh Spectrum Puncturing. (2024),2024,,,,,
Arasu Arun et al.: Jolt: SNARKs for Virtual Machines via Lookups. (2024),2024,,,,,
Aron van Baarsen and Sihang Pu: Fuzzy Private Set Intersection with Large Hyperballs. (2024),2024,1,"This work presents the first black-box construction for fuzzy PSI (including other variants such as PSI cardinality, labeled PSI, and circuit PSI), which can handle polynomially large radius and dimension (i.e., a potentially exponentially large volume) in two interaction messages, supporting general Lp∈[1,∞] distance, without relying on garbled circuits or FHE.",2,"b,c","PH,RS,AUT,BMD,MSG,PWD,LOC,DLD"
Ashrujit Ghoshal et al.: Efficient Pre-processing PIR Without Public-Key Cryptography. (2024),2024,1,"we show that assuming the existence of one-way functions, we can construct a two-server preprocessing PIR scheme with O ̃(n1/4) bandwidth and O ̃(n1/2) computation per query, while requiring only O ̃(n1/2) client storage.",3,b,"CNP,MSG,WEB,6-BLK"
Yassine Hamoudi et al.: The NISQ Complexity of Collision Finding. (2024),2024,,,,,
"Ashwin Jha et al.: Tight Security of TNT and Beyond - Attacks, Proofs and Possibilities for the Cascaded LRW Paradigm. (2024)",2024,,,,,
Yao-Ching Hsieh et al.: A General Framework for Lattice-Based ABE Using Evasive Inner-Product Functional Encryption. (2024),2024,,,,,
Aurel Page and Benjamin Wesolowski: The Supersingular Endomorphism Ring and One Endomorphism Problems are Equivalent. (2024),2024,,,,,
Benedikt Auerbach et al.: Trapdoor Memory-Hard Functions. (2024),2024,,,,,
Bar Alon et al.: Can Alice and Bob Guarantee Output to Carol? (2024),2024,,,,,
Yanyi Liu and Rafael Pass: A Direct PRF Construction from Kolmogorov Complexity. (2024),2024,,,,,
Shihe Ma et al.: Accelerating BGV Bootstrapping for Large p Using Null Polynomials over $\mathbb {Z}_{p^e}$. (2024),2024,2,we propose optimizations for the digit removal procedure with large p by leveraging the properties of null polynomials over the ring Zpe .,1,"a,b",CRY
Shany Ben-David: Probabilistically Checkable Arguments for All NP. (2024),2024,1,a publicly-verifiable succinct PCA with constant query complexity for all NP in the adaptive security setting,1,a,CRY
Shan Chen and Marc Fischlin: Integrating Causality in Messaging Channels. (2024),2024,1,"Until now, for messaging channels (where conversations take place), both the proper causality model and the provably secure constructions have been left open. Our work fills this gap, with the goal to facilitate the formal understanding of causality preservation in messaging.",4,c,MSG
Sebastian Faust et al.: Connecting Leakage-Resilient Secret Sharing to Practice: Scaling Trends and Physical Dependencies of Prime Field Masking. (2024),2024,,,,,
Zahra Ahmadian et al.: Improved Differential Meet-in-the-Middle Cryptanalysis. (2024),2024,,,,,
Yusuke Naito et al.: The Exact Multi-user Security of (Tweakable) Key Alternating Ciphers with a Single Permutation. (2024),2024,,,,,
Damiano Abram et al.: Succinct Homomorphic Secret Sharing. (2024),2024,,,,,
Damiano Abram et al.: Constant-Round Simulation-Secure Coin Tossing Extension with Guaranteed Output. (2024),2024,1,"""We prove that statistical CTE with full black-box security and superlogarithmic stretch must have superconstant rounds.""",1,"a,b",CRY
Dario Catalano et al.: Anamorphic Encryption: New Constructions and Homomorphic Realizations. (2024),2024,,,,,
Shiyao Chen et al.: Diving Deep into the Preimage Security of AES-Like Hashing. (2024),2024,,,,,
Yuval Ishai and Yifan Song: Leakage-Tolerant Circuits. (2024),2024,1,"a systematic study of leakage-tolerant circuits for natural classes L of global leakage functions,s a general construction of LTCs for depth-1 leakage,
establishing the first feasibility result for leakage-tolerance with respect to nontrivial global leakage classes. ",1,a,CRY
Ruida Wang et al.: Circuit Bootstrapping: Faster and Smaller. (2024),2024,,,,,
"Cody Freitag et al.: Public-Coin, Complexity-Preserving, Succinct Arguments of Knowledge for NP from Collision-Resistance. (2024)",2024,,,,,
David Heath et al.: Garbled Circuit Lookup Tables with Logarithmic Number of Ciphertexts. (2024),2024,,,,,
David Heath: Efficient Arithmetic in Garbled Circuits. (2024),2024,,,,,
"Aggelos Kiayias et al.: Ordering Transactions with Bounded Unfairness: Definitions, Complexity and Constructions. (2024)",2024,3,x,x,x,
"Yevgeniy Dodis et al.: Speak Much, Remember Little: Cryptography in the Bounded Storage Model, Revisited. (2023)",2023,,,,,
Zhongyi Zhang et al.: Collision Attacks on Round-Reduced SHA-3 Using Conditional Internal Differentials. (2023),2023,,,,,
Zhenzhen Bao et al.: XOCB: Beyond-Birthday-Bound Secure Authenticated Encryption Mode with Rate-One Computation. (2023),2023,1,"We present a new block cipher mode of operation for authenticated encryption (AE), dubbed XOCB, that has the following features: ...",1,"a,b",CRY
Kevin Yeo: Lower Bounds for (Batch) PIR with Private Preprocessing. (2023),2023,,,,,
