Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Rafaël del Pino et al.: Raccoon: A Masking-Friendly Signature Proven in the Probing Model. (2024),2024,1,"""This paper presents Raccoon, a lattice-based signature scheme submitted to the NIST
2022 call for additional post-quantum signatures. Raccoon has the specicity of always being
masked.""",4,b,"NIST,PQC"
Ran Cohen et al.: Secure Multiparty Computation with Identifiable Abort via Vindicating Release. (2024),2024,,,,,
Ritam Bhaumik et al.: The Committing Security of MACs with Applications to Generic Composition. (2024),2024,,,,,
Rutchathon Chairattana-Apirom et al.: Pairing-Free Blind Signatures from CDH Assumptions. (2024),2024,,,,,
Sanjam Garg et al.: How to Prove Statements Obliviously? (2024),2024,1,This work presents a new technique called—FRI on hidden values—for efficiently proving such statements.,1,a,CRY
Sanjam Garg et al.: Scalable Multiparty Computation from Non-linear Secret Sharing. (2024),2024,1,"We present the first unconditionallysecure MPC protocols for arithmetic circuits over large fields with total computation O(|C| log |F |), where |C| and |F | denote the circuit and field size, respectively.",2,"a,b","ML,DAD"
Sanjam Garg et al.: Threshold Encryption with Silent Setup. (2024),2024,,,,,
Seyoon Ragavan and Vinod Vaikuntanathan: Space-Efficient and Noise-Robust Quantum Factoring. (2024),2024,1,"""We provide two improvements to Regev’s quantum factoring algorithm (Journal of the ACM 2025), addressing its space efficiency and its noise-tolerance.""",1,"a,b",CRY
Shuichi Katsumata et al.: Adaptively Secure 5 Round Threshold Signatures from MLWE/MSIS and DL with Rewinding. (2024),2024,1,"""In this work, we focus on thresholdizing existing signature schemes based on the Fiat-Shamir paradigm [FS87], e.g., ECDSA, Schnorr [Sch91], Dilithium [DKL`18], Raccoon [dPEK`23], a wide class of efficient signature schemes that has been a popular target to thresholdize in the literature.""",2,a,CRY
Shweta Agrawal et al.: Attribute Based Encryption for Turing Machines from Lattices. (2024),2024,,,,,
